intercept,sample_size,c_number,cov_mat,diag_cov,marginal_standardization_estimate,marginal_standardization_SE,ip_weighting_estimate,ip_weighting_robust_SE,ip_weighting_boot_SE
-5,1000,10,0,1,-0.2768830104948799,0.3572103885331043,0.11230039958690306,0.30293143949543483,0.2833801283041237
-5,1000,10,0,1,0.3336020499817181,1.0358965265767897,1.0813273797514351,0.42405130245705364,0.9197327149841561
-5,1000,10,0,1,0.41803831002024444,0.8801615560785749,0.6347674113737839,0.41403036445242186,0.4381868374418783
-5,1000,10,0,1,0.6883803695197799,0.6532586111643064,0.910225958959424,0.4127245616322786,0.41682177045676205
-5,1000,10,0,1,0.49837196294137326,0.814586352919641,0.9108626663977037,0.38634674618984277,0.8706258981834587
-5,1000,10,0,1,0.3735443371421788,0.7242920673166858,0.8091918560635242,0.4627667072341312,0.5122954088516903
-5,1000,10,0,1,0.4604694991963591,0.6507279378213514,0.7310569839821255,0.38952437957146235,0.39394878364070235
-5,1000,10,0,1,0.7705889860562117,0.6656036452017159,0.8582627001021912,0.3866442825832561,0.38061975953107696
-5,1000,10,0,1,0.9130244610380007,0.7131187325615567,1.024384899018202,0.4033165533394069,0.41042408102887884
-5,1000,10,0,1,0.8965392581098891,2.3369842855821887,1.7095963538451522,0.564993066981086,2.3883421393835853
-5,1000,10,0,1,1.0793325150963047,1.784617673451265,1.6083523622037499,0.55529089330302694,1.6520482856500893
-5,1000,10,0,1,0.09806205485386955,0.5583878585546538,0.4027875634555434,0.3121782187601122,0.3114745328416208
-5,1000,10,0,1,0.18375633003615996,0.5704860534912078,0.3776472452147449,0.3404074809672129,0.3869561293455342
-5,1000,10,0,1,0.8561967440117874,0.6440924609506072,1.2587116600492236,0.43276761689108195,0.46677880300017
-5,1000,10,0,1,0.18673909972340194,1.3415246845872706,0.8480804969885238,0.4683036981602361,0.9394186797301295
-5,1000,10,0,1,0.8842699276035852,0.547562659333284,1.4259106202662706,0.41416888046130623,0.4435159115676987
-5,1000,10,0,1,0.4868303607905436,0.5259155422559647,0.8661691632979781,0.372363401769351,0.4177491468525237
-5,1000,10,0,1,-0.31853104018921174,0.5013223273242448,-0.19965728647681413,0.300140932616945,0.27706235784024386
-5,1000,10,0,1,0.47539648456135547,0.7688514760809292,0.7534380576101352,0.4314148449531006,0.4687434956510445
-5,1000,10,0,1,0.14651924476733863,0.3755941986435922,0.4247558700939136,0.29872524302675857,0.27772044350805675
-5,1000,10,0,1,0.3367870846528696,0.5378133443414045,0.8174209038013457,0.41570683038534456,0.4489450175578833
-5,1000,10,0,1,0.050591883919834005,0.516765347396595,0.17947550241181484,0.3257677148538706,0.3131974069086566
-5,1000,10,0,1,1.0069513775720194,1.8253699058814534,1.733063985558435,0.536373096085603,1.832656243910238
-5,1000,10,0,1,1.1331600523760064,2.3999830916118814,1.328084755634684,0.5446199589450466,2.271903519947383
-5,1000,10,0,1,0.28422970525898833,1.592955277549354,0.9090442211119968,0.4792882630258579,1.2300097830687693
-5,1000,10,0,1,1.105143663841058,1.1763407352274067,1.3259614201771224,0.4687720266448248,1.2264420089198922
-5,1000,10,0,1,0.28839476775487793,0.5538666733110498,0.7083407185939448,0.36964084194471947,0.40321301140561233
-5,1000,10,0,1,0.21374637173649072,0.5791713588755009,0.2943859694157228,0.31704259886013564,0.32922732179689695
-5,1000,10,0,1,-0.24800915761782785,0.6128012746814977,-0.03707739734531073,0.3417975694845306,0.3620018464144832
-5,1000,10,0,1,0.43805610815118606,0.6312828768457801,0.5916957853713093,0.4104009554317695,0.4726945550733672
-5,1000,10,0,1,0.802940107314552,1.1060297262720609,1.0754249084038305,0.4608614813095353,0.9378243910820856
-5,1000,10,0,1,0.8627452746446664,0.7881980101534184,1.3656436860120384,0.44614164382180826,0.452469586599629
