intercept,sample_size,c_number,cov_mat,diag_cov,marginal_standardization_estimate,marginal_standardization_SE,ip_weighting_estimate,ip_weighting_robust_SE,ip_weighting_boot_SE
-2,1000,10,0,1,0.44500845131969996,0.12469857932417786,0.5326468886209634,0.17945617928342814,0.14304644125169044
-2,1000,10,0,1,0.4455800546373016,0.11896450588194549,0.5339962326925228,0.1874912511248334,0.14639911144591616
-2,1000,10,0,1,0.3751075380733217,0.1216653164441921,0.4390172759750782,0.19209654144243704,0.15251844960553373
-2,1000,10,0,1,0.48171197153404066,0.12397690992965492,0.5362215393091396,0.19112174619077035,0.1545520650975354
-2,1000,10,0,1,0.5178829220263442,0.125163137910734,0.5656862874368352,0.17632441455234701,0.13760481861448937
-2,1000,10,0,1,0.3984371181671471,0.11934294524357109,0.4432579733559585,0.17857184181331368,0.1354480648758004
-2,1000,10,0,1,0.4675509095979585,0.11828904685453039,0.4525565102496184,0.1840736273787177,0.13431666123118788
-2,1000,10,0,1,0.5008996775009741,0.1277292233531873,0.504927044039419,0.18527831375259887,0.14078432168750493
-2,1000,10,0,1,0.284134422197045,0.12276357995157715,0.361393275712484,0.1710886560253347,0.12869007695194912
-2,1000,10,0,1,0.5102787974691436,0.12511945453532877,0.5249353153318957,0.1942279180491225,0.1463518579243177
-2,1000,10,0,1,0.3684902106354561,0.1321405075905669,0.4467155968438932,0.1853215742337701,0.15020470447920037
-2,1000,10,0,1,0.46548840908634637,0.12655156418741173,0.5260945149240857,0.1803689293314656,0.1361322280623658
-2,1000,10,0,1,0.2906665255579176,0.12785813855581907,0.491455447330967,0.18715378742006925,0.1653478888748829
-2,1000,10,0,1,0.2460233027936593,0.11060938283431872,0.30413194183148656,0.18174269166351106,0.12857173808607908
-2,1000,10,0,1,0.5088882245343073,0.12567083293652187,0.6397403123195342,0.1846687437080337,0.14776255763785529
-2,1000,10,0,1,0.48947053982577843,0.1261274075477112,0.5269516905128567,0.18086797066867208,0.1390504050491309
-2,1000,10,0,1,0.28941292047361206,0.11419407492661067,0.3509778534492403,0.16515131071205721,0.12410075877338875
-2,1000,10,0,1,0.13250894551423703,0.1122333921953835,0.214242987989178,0.17489465419063652,0.12524357235127007
-2,1000,10,0,1,0.22177174287584564,0.11400794683956737,0.27294509695105235,0.18117440439384816,0.13289969740970717
-2,1000,10,0,1,0.46286616887052173,0.11768373541538593,0.5713073998876368,0.17048639278091027,0.13228046528352175
-2,1000,10,0,1,0.4336372381015143,0.12169150210155888,0.4963133776222496,0.16742753425326956,0.13273663095032992
-2,1000,10,0,1,0.3864869825432267,0.12367323275465625,0.3832012679842519,0.17893271146405199,0.13426913788536926
-2,1000,10,0,1,0.3748759751224087,0.1199226946062036,0.39869501897230536,0.1733708051739526,0.13263566711412275
-2,1000,10,0,1,0.3542971331009288,0.11195820547418879,0.35119904907933286,0.17049576139341913,0.12551784926800713
-2,1000,10,0,1,0.44772544351963406,0.12648678100287053,0.5720360291071194,0.18494042905461405,0.14287098275109567
-2,1000,10,0,1,0.2801019218352197,0.1266950632184584,0.42972742420585486,0.18025136791298021,0.13966331684230276
-2,1000,10,0,1,0.4088042841273389,0.12756387632660401,0.49124172163812696,0.18345697028496935,0.1493548442409916
-2,1000,10,0,1,0.44081654471159676,0.11830644184343711,0.5523091048148944,0.17368598851475256,0.1336848814119628
-2,1000,10,0,1,0.6688083494025212,0.1389626540127434,0.9476868896388206,0.17968566400181535,0.16147485413418025
-2,1000,10,0,1,0.46509270153852966,0.11281699605207539,0.49324746080889975,0.1756113695062184,0.12341236882374072
-2,1000,10,0,1,0.4258853614119506,0.12281491882331137,0.500884837316558,0.16500643680748667,0.13697056034390034
-2,1000,10,0,1,0.20857479112971458,0.1328807719417272,0.30389728386240966,0.19529475733463644,0.1627845721696962
-2,1000,10,0,1,0.4604893877972228,0.12833713195860894,0.512802106726545,0.1851216056445363,0.14821580479146024
-2,1000,10,0,1,0.30639472403525453,0.11887109282747904,0.40612447365726767,0.18088725870080957,0.13386240241481792
-2,1000,10,0,1,0.3835067009198907,0.12421068938658342,0.478645027699886,0.1699313427245602,0.13630497721880244
-2,1000,10,0,1,0.09932270589504547,0.11334549919536605,0.21932819615057034,0.162333152284091,0.12276895748518564
-2,1000,10,0,1,0.20566745564382738,0.12630500986570148,0.2613900470693377,0.17255732671148255,0.14120028593329914
-2,1000,10,0,1,0.3941634942962419,0.12177775303041903,0.3521409997450349,0.18082013420443846,0.13532193602170664
-2,1000,10,0,1,0.3120410142313731,0.11868657796759333,0.5227318284536825,0.1874203209079944,0.1550040695609279
-2,1000,10,0,1,0.42886987902876894,0.127582153335375,0.5334312303621735,0.19449497702442253,0.15564633526726665
-2,1000,10,0,1,0.4547759971320366,0.13379028274812968,0.5709640604104097,0.18724437009754408,0.15641720106447493
-2,1000,10,0,1,0.448111504243028,0.12138858192522546,0.5179862369490047,0.1702911926125477,0.1304910140780271
-2,1000,10,0,1,0.4288185921074731,0.12299859917021667,0.4897184244775781,0.17577689596454885,0.13154770437127705
-2,1000,10,0,1,0.43424751587256927,0.14000532328134882,0.5832871054326065,0.18624208943712878,0.16286389064806353
-2,1000,10,0,1,0.6730992872473468,0.14090009631571462,0.8357788409969498,0.19051178105055674,0.1564217227248529
-2,1000,10,0,1,0.45560187267316987,0.12841505194173952,0.46012438335576433,0.19081390090862002,0.14423359220423687
-2,1000,10,0,1,0.5718148667772193,0.1315762636620065,0.76482317983008,0.18461074400057473,0.16142040429120008
-2,1000,10,0,1,0.5813358969910492,0.1314146626356509,0.6083128977752739,0.1829729407698096,0.1434062287793654
-2,1000,10,0,1,0.5220131668856978,0.13074224914713456,0.5998390293795273,0.19512932491879328,0.1511742753430173
