index,sample_size,res_mod1,res_mod2
1,5000,0.3692411245418054,0.36948303048917275
2,5000,0.33532020974092164,0.33416764519190023
3,5000,0.47537116834078047,0.4754418636683939
4,5000,0.4437975727811003,0.4433523428405526
5,5000,0.4498862411043055,0.44949298371022683
6,5000,0.4451252729987392,0.44428976622788025
7,5000,0.4923399794577167,0.49225212588346684
8,5000,0.48143135578573204,0.4815136891420648
9,5000,0.5176233388630831,0.5174485724867373
10,5000,0.5573955834641804,0.556505010460475
11,5000,0.4586695322169793,0.4558392257858986
12,5000,0.4752177957391079,0.4729226784666355
13,5000,0.3594012285694258,0.3592759832088046
14,5000,0.4269207720157236,0.42854685988531754
15,5000,0.504637712759949,0.505375495814333
16,5000,0.35604948301363126,0.3554614713438783
17,5000,0.5012119843817037,0.5020019690288163
18,5000,0.4219074428820034,0.421032666210434
19,5000,0.3920953517901259,0.39184659959098006
20,5000,0.3522755299177901,0.35232546509206714
21,5000,0.43248308415918596,0.43192294734001535
22,5000,0.44349108941954213,0.4436498932293536
23,5000,0.2987762945404542,0.30072991306084573
24,5000,0.3895951290557804,0.3896856943744588
25,5000,0.4354829486659853,0.43633493858376193
26,5000,0.3598722899525643,0.3590269438959413
27,5000,0.3496879805568046,0.34894040710165847
28,5000,0.2742002728659648,0.27375087287050986
29,5000,0.5157963985518778,0.5163370044436308
30,5000,0.4489940596905358,0.4479207950014001
31,5000,0.3276190263002196,0.32594215023755113
32,5000,0.35624686732303257,0.3552170427966576
33,5000,0.470795116459714,0.47449074966741656
34,5000,0.4488504892955455,0.44803203832226224
35,5000,0.48656764885233367,0.4860204529928071
36,5000,0.38412848356030677,0.38487039064455386
37,5000,0.42588810279049455,0.42569017433178785
38,5000,0.4415874216899463,0.4416578227464393
39,5000,0.3874605716967961,0.3879100213034415
40,5000,0.4390388881796136,0.4390112049130694
41,5000,0.24720337166171738,0.24725972500677115
42,5000,0.42430481665239955,0.4242181877546869
43,5000,0.4360024526274646,0.43614230156828193
44,5000,0.5641932552793191,0.5650675728656912
45,5000,0.42082299066832773,0.421068893129986
46,5000,0.3996953987507701,0.3996637278896703
47,5000,0.3604264906954946,0.3589868689803403
48,5000,0.3203918460558019,0.31940335903414674
49,5000,0.47924760712626374,0.47918029946887264
50,5000,0.3667232746081513,0.3648896841928932
51,5000,0.4345736138824188,0.43436338670037783
52,5000,0.5547237911233868,0.552383719226069
53,5000,0.4700587396856527,0.4697978821855916
54,5000,0.3846836728084823,0.38440718297173365
55,5000,0.5204558649950599,0.5201599852622345
56,5000,0.5157758973332144,0.5153375616013453
57,5000,0.3077069721112566,0.30811616275536635
58,5000,0.23399698954505527,0.23504606738106584
59,5000,0.43965498673354514,0.4396804115571157
60,5000,0.4689866492891611,0.4689781717201795
61,5000,0.510752424249439,0.5110623232735851
62,5000,0.3455738209528021,0.34597996979025325
63,5000,0.4990158820370952,0.5016792796689411
64,5000,0.377770477874365,0.3772952016166516
65,5000,0.40092465860267,0.39770910787485664
66,5000,0.4551694967929465,0.4550931877760633
67,5000,0.5346742047843378,0.5334946115628859
68,5000,0.27825829432150817,0.28008320715617474
69,5000,0.4833293344735846,0.48475992378561017
70,5000,0.4765158906870641,0.4767523864152312
71,5000,0.39455441741023867,0.3947311862632084
72,5000,0.5233340422585194,0.52364496596202
73,5000,0.37878371868907623,0.3800002491173251
74,5000,0.4282466651553295,0.4277775926115724
75,5000,0.4453119160596207,0.4459401416331961
76,5000,0.4632848690065335,0.46319552043401624
77,5000,0.26606372645215814,0.26662239954555333
78,5000,0.3507597869139427,0.35080951860337745
79,5000,0.37552132067359,0.375802825208713
80,5000,0.3162590581411588,0.31422942115111085
81,5000,0.48483169165539575,0.4862168750993383
82,5000,0.47072894032318047,0.4707685524640831
83,5000,0.40212747007636934,0.40175188028019226
84,5000,0.48855153025357706,0.4922881156416746
85,5000,0.47861128764321575,0.4792310102796143
86,5000,0.4177251557648894,0.4173724933307938
87,5000,0.43461499562660355,0.4329207702679766
88,5000,0.3377218631165081,0.33736110539477815
89,5000,0.3527192885420334,0.3515206884847387
90,5000,0.41322233309077805,0.4133742800328436
